New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
191703,38.0,-2.7
191704,47.4,-3.9
191705,53.4,-8.6
191706,69.5,-1.8
191707,75.2,-1.1
191708,75.2,0.6
191709,62.5,-5.0
191710,51.7,-5.2
191711,40.0,-6.1
191712,23.8,-12.0
191801,20.3,-11.3
191802,29.0,-4.2
191803,40.9,0.2
191804,49.7,-1.6
191805,64.4,2.4
191806,67.0,-4.3
191807,73.8,-2.5
191808,75.5,0.9
191809,62.8,-4.7
191810,57.8,0.9
191811,44.9,-1.2
191812,38.2,2.4
191901,34.2,2.6
191902,33.5,0.3
191903,42.0,1.3
191904,49.0,-2.3
191905,61.1,-0.9
191906,70.2,-1.1
191907,74.4,-1.9
191908,70.2,-4.4
191909,66.5,-1.0
191910,58.0,1.1
191911,43.6,-2.5
191912,29.0,-6.8
192001,22.7,-8.9
192002,27.8,-5.4
192003,39.3,-1.4
192004,47.7,-3.6
192005,58.5,-3.5
192006,69.1,-2.2
192007,73.7,-2.6
192008,74.0,-0.6
192009,68.1,0.6
192010,60.5,3.6
192011,43.4,-2.7
192012,36.7,0.9
192101,32.5,0.9
192102,33.2,0.0
192103,47.8,7.1
192104,55.8,4.5
192105,61.0,-1.0
192106,71.1,-0.2
192107,77.2,0.9
192108,71.3,-3.3
192109,71.7,4.2
192110,55.7,-1.2
192111,43.7,-2.4
192112,31.8,-4.0
192201,27.5,-4.1
192202,32.8,-0.4
192203,40.4,-0.3
192204,51.1,-0.2
192205,64.3,2.3
192206,71.7,0.4
192207,73.6,-2.7
192208,72.1,-2.5
192209,67.3,-0.2
192210,57.1,0.2
192211,44.3,-1.8
192212,32.6,-3.2
192301,28.8,-2.8
192302,24.9,-8.3
192303,35.8,-4.9
192304,49.5,-1.8
192305,59.3,-2.7
192306,72.9,1.6
192307,73.2,-3.1
192308,71.9,-2.7
192309,67.4,-0.1
192310,54.9,-2.0
192311,43.8,-2.3
192312,41.1,5.3
192401,31.5,-0.1
192402,27.6,-5.6
192403,38.1,-2.6
192404,48.3,-3.0
192405,56.6,-5.4
192406,67.3,-4.0
192407,73.6,-2.7
192408,73.6,-1.0
192409,63.3,-4.2
192410,56.0,-0.9
192411,43.0,-3.1
192412,33.0,-2.8
192501,27.3,-4.3
192502,36.6,3.4
192503,43.1,2.4
192504,51.0,-0.3
192505,58.9,-3.1
192506,73.8,2.5
192507,73.0,-3.3
192508,72.6,-2.0
192509,67.9,0.4
192510,49.6,-7.3
192511,42.5,-3.6
192512,33.8,-2.0
192601,30.8,-0.8
192602,28.0,-5.2
192603,34.7,-6.0
192604,46.6,-4.7
192605,59.4,-2.6
192606,66.3,-5.0
192607,74.5,-1.8
192608,73.3,-1.3
192609,64.8,-2.7
192610,54.0,-2.9
192611,43.5,-2.6
192612,28.0,-7.8
192701,29.8,-1.8
192702,35.2,2.0
192703,42.0,1.3
192704,47.8,-3.5
192705,58.3,-3.7
192706,66.8,-4.5
192707,73.4,-2.9
192708,67.8,-6.8
192709,67.0,-0.5
192710,58.5,1.6
192711,47.7,1.6
192712,35.7,-0.1
192801,32.8,1.2
192802,31.8,-1.4
192803,37.8,-2.9
192804,47.6,-3.7
192805,58.7,-3.3
192806,66.9,-4.4
192807,75.4,-0.9
192808,74.7,0.1
192809,63.9,-3.6
192810,57.5,0.6
192811,45.6,-0.5
192812,38.0,2.2
192901,30.5,-1.1
192902,31.4,-1.8
192903,43.8,3.1
192904,49.8,-1.5
192905,60.7,-1.3
192906,70.7,-0.6
192907,75.0,-1.3
192908,72.1,-2.5
192909,68.2,0.7
192910,53.2,-3.7
192911,44.4,-1.7
192912,34.5,-1.3
193001,31.8,0.2
193002,35.5,2.3
193003,38.9,-1.8
193004,47.3,-4.0
193005,62.8,0.8
193006,72.7,1.4
193007,75.5,-0.8
193008,72.5,-2.1
193009,70.8,3.3
193010,54.2,-2.7
193011,43.7,-2.4
193012,33.4,-2.4
193101,31.3,-0.3
193102,32.3,-0.9
193103,39.0,-1.7
193104,50.0,-1.3
193105,60.4,-1.6
193106,69.9,-1.4
193107,76.6,0.3
193108,74.2,-0.4
193109,71.2,3.7
193110,59.9,3.0
193111,50.1,4.0
193112,39.6,3.8
193201,41.7,10.1
193202,34.6,1.4
193203,36.0,-4.7
193204,47.9,-3.4
193205,61.0,-1.0
193206,69.6,-1.7
193207,75.2,-1.1
193208,75.6,1.0
193209,68.3,0.8
193210,57.1,0.2
193211,42.2,-3.9
193212,37.8,2.0
